1006.40 --> 1007.02 | SPEAKER_01
1007.64 --> 1008.78 | SPEAKER_01
1009.62 --> 1016.76 | SPEAKER_01
1017.23 --> 1020.45 | SPEAKER_01
1021.12 --> 1025.27 | SPEAKER_01
1025.40 --> 1026.92 | SPEAKER_03
1025.98 --> 1026.90 | SPEAKER_01
1027.24 --> 1030.42 | SPEAKER_01
1029.27 --> 1029.72 | SPEAKER_03
1031.35 --> 1033.90 | SPEAKER_01
1034.22 --> 1035.16 | SPEAKER_01
1036.01 --> 1038.61 | SPEAKER_01
1038.94 --> 1039.42 | SPEAKER_03
1039.42 --> 1040.27 | SPEAKER_01
1040.96 --> 1041.77 | SPEAKER_01
1042.44 --> 1043.72 | SPEAKER_01
1044.09 --> 1046.96 | SPEAKER_01
1046.83 --> 1047.40 | SPEAKER_03
1047.46 --> 1049.85 | SPEAKER_01
1049.79 --> 1050.74 | SPEAKER_03
1051.09 --> 1051.96 | SPEAKER_03
1051.38 --> 1057.24 | SPEAKER_01
1058.01 --> 1062.35 | SPEAKER_01
1062.66 --> 1066.64 | SPEAKER_01
1067.87 --> 1068.85 | SPEAKER_02
1068.57 --> 1073.51 | SPEAKER_01
1073.85 --> 1077.42 | SPEAKER_01
1076.14 --> 1077.62 | SPEAKER_02
1077.51 --> 1078.62 | SPEAKER_01
1078.61 --> 1088.59 | SPEAKER_02
1082.81 --> 1085.20 | SPEAKER_01
1085.42 --> 1087.94 | SPEAKER_01
1088.07 --> 1090.53 | SPEAKER_01
1089.09 --> 1089.53 | SPEAKER_02
1091.01 --> 1093.12 | SPEAKER_01
1093.72 --> 1095.55 | SPEAKER_01
1095.74 --> 1096.22 | SPEAKER_01
1096.61 --> 1097.51 | SPEAKER_01
1097.12 --> 1099.51 | SPEAKER_02
1098.05 --> 1098.74 | SPEAKER_01
1099.74 --> 1103.72 | SPEAKER_01
1104.29 --> 1106.88 | SPEAKER_01
1107.33 --> 1113.72 | SPEAKER_01
1113.70 --> 1114.31 | SPEAKER_02
1114.85 --> 1116.53 | SPEAKER_01
1116.57 --> 1116.98 | SPEAKER_02
1117.03 --> 1118.72 | SPEAKER_01
1119.14 --> 1120.37 | SPEAKER_02
1119.31 --> 1119.70 | SPEAKER_01
1120.37 --> 1123.48 | SPEAKER_01
1122.20 --> 1122.59 | SPEAKER_02
1123.66 --> 1124.14 | SPEAKER_02
1124.29 --> 1132.79 | SPEAKER_02
1125.85 --> 1126.31 | SPEAKER_01
1132.62 --> 1137.09 | SPEAKER_01
1134.44 --> 1136.05 | SPEAKER_02
1137.22 --> 1137.74 | SPEAKER_02
1137.70 --> 1146.37 | SPEAKER_01
1139.51 --> 1139.74 | SPEAKER_03
1146.90 --> 1150.16 | SPEAKER_01
1147.66 --> 1147.68 | SPEAKER_00
1147.68 --> 1148.27 | SPEAKER_03
1151.79 --> 1154.01 | SPEAKER_01
1154.24 --> 1163.33 | SPEAKER_01
1162.53 --> 1163.01 | SPEAKER_03
1163.77 --> 1165.24 | SPEAKER_01
1165.11 --> 1165.59 | SPEAKER_03
1166.05 --> 1173.22 | SPEAKER_01
1172.33 --> 1174.81 | SPEAKER_03
1173.53 --> 1173.98 | SPEAKER_01
1174.37 --> 1179.24 | SPEAKER_01
1176.12 --> 1176.53 | SPEAKER_03
1179.27 --> 1180.11 | SPEAKER_03
1179.83 --> 1182.35 | SPEAKER_01
1182.64 --> 1182.92 | SPEAKER_02
1182.92 --> 1182.96 | SPEAKER_03
1182.92 --> 1183.38 | SPEAKER_01
1184.62 --> 1189.24 | SPEAKER_01
1186.46 --> 1188.74 | SPEAKER_02
1189.14 --> 1190.24 | SPEAKER_02
1189.40 --> 1191.03 | SPEAKER_01
1190.83 --> 1193.72 | SPEAKER_02
1192.05 --> 1193.20 | SPEAKER_01
1193.83 --> 1194.64 | SPEAKER_01
1194.29 --> 1194.66 | SPEAKER_02
1195.35 --> 1196.92 | SPEAKER_02
1196.90 --> 1201.35 | SPEAKER_01
1202.01 --> 1204.40 | SPEAKER_02
1204.79 --> 1207.22 | SPEAKER_02
1207.77 --> 1208.48 | SPEAKER_02
1209.11 --> 1211.37 | SPEAKER_02
1211.68 --> 1231.12 | SPEAKER_02
1219.09 --> 1219.85 | SPEAKER_03
1223.01 --> 1223.03 | SPEAKER_03
1223.03 --> 1223.83 | SPEAKER_01
1229.74 --> 1231.83 | SPEAKER_01
1232.03 --> 1234.72 | SPEAKER_02
1233.68 --> 1234.38 | SPEAKER_01
1234.72 --> 1234.79 | SPEAKER_01
1235.83 --> 1236.48 | SPEAKER_01
1236.88 --> 1240.55 | SPEAKER_01
