1875.50 --> 1876.73 | SPEAKER_02
1878.98 --> 1892.71 | SPEAKER_02
1888.98 --> 1897.30 | SPEAKER_00
1897.30 --> 1900.92 | SPEAKER_02
1900.58 --> 1910.99 | SPEAKER_00
1902.59 --> 1903.33 | SPEAKER_02
1906.89 --> 1921.15 | SPEAKER_02
1921.15 --> 1930.97 | SPEAKER_00
1930.97 --> 1931.59 | SPEAKER_02
1932.54 --> 1951.47 | SPEAKER_02
1952.37 --> 1972.36 | SPEAKER_02
1973.75 --> 1974.46 | SPEAKER_02
1975.32 --> 1980.72 | SPEAKER_02
1981.76 --> 1987.45 | SPEAKER_02
1988.65 --> 2005.81 | SPEAKER_02
2006.42 --> 2036.39 | SPEAKER_02
2014.21 --> 2016.98 | SPEAKER_00
2037.27 --> 2038.67 | SPEAKER_02
2039.56 --> 2070.24 | SPEAKER_02
2067.18 --> 2067.49 | SPEAKER_01
2070.12 --> 2073.99 | SPEAKER_00
2073.02 --> 2109.25 | SPEAKER_02
2082.73 --> 2084.28 | SPEAKER_00
2105.14 --> 2107.48 | SPEAKER_01
2107.48 --> 2108.16 | SPEAKER_00
2110.98 --> 2112.04 | SPEAKER_02
2113.27 --> 2144.47 | SPEAKER_02
2135.46 --> 2137.52 | SPEAKER_00
2144.47 --> 2149.47 | SPEAKER_00
2146.11 --> 2146.36 | SPEAKER_02
2147.95 --> 2156.34 | SPEAKER_02
2156.34 --> 2163.41 | SPEAKER_00
2161.68 --> 2161.77 | SPEAKER_02
2163.03 --> 2176.23 | SPEAKER_02
2176.26 --> 2182.04 | SPEAKER_00
2181.16 --> 2188.53 | SPEAKER_02
2182.69 --> 2182.90 | SPEAKER_00
2188.53 --> 2236.31 | SPEAKER_00
2236.31 --> 2243.97 | SPEAKER_02
2244.78 --> 2260.23 | SPEAKER_02
2255.86 --> 2256.18 | SPEAKER_00
2261.03 --> 2287.34 | SPEAKER_02
2288.06 --> 2292.53 | SPEAKER_02
2293.50 --> 2309.64 | SPEAKER_02
2304.85 --> 2305.32 | SPEAKER_00
2310.89 --> 2311.25 | SPEAKER_02
2312.70 --> 2320.16 | SPEAKER_02
2316.58 --> 2316.61 | SPEAKER_00
2316.93 --> 2316.95 | SPEAKER_01
2321.17 --> 2322.13 | SPEAKER_02
2323.23 --> 2327.13 | SPEAKER_02
2328.24 --> 2377.97 | SPEAKER_02
2365.26 --> 2365.53 | SPEAKER_01
2365.53 --> 2367.64 | SPEAKER_00
2376.74 --> 2379.03 | SPEAKER_00
2379.03 --> 2387.47 | SPEAKER_02
2387.47 --> 2440.78 | SPEAKER_00
2390.05 --> 2390.98 | SPEAKER_01
2440.04 --> 2442.21 | SPEAKER_02
2444.48 --> 2520.53 | SPEAKER_00
2480.91 --> 2483.66 | SPEAKER_02
2506.68 --> 2507.59 | SPEAKER_01
2521.54 --> 2529.48 | SPEAKER_02
2528.83 --> 2532.02 | SPEAKER_00
2531.60 --> 2540.11 | SPEAKER_02
2533.04 --> 2533.64 | SPEAKER_00
2541.44 --> 2543.13 | SPEAKER_02
2544.31 --> 2562.33 | SPEAKER_02
2556.41 --> 2557.66 | SPEAKER_00
2563.53 --> 2615.77 | SPEAKER_02
2600.55 --> 2603.12 | SPEAKER_01
2606.29 --> 2608.37 | SPEAKER_01
2606.98 --> 2607.03 | SPEAKER_00
2608.37 --> 2610.29 | SPEAKER_00
2616.62 --> 2642.84 | SPEAKER_02
2625.56 --> 2625.61 | SPEAKER_00
2626.56 --> 2627.20 | SPEAKER_00
2644.14 --> 2644.43 | SPEAKER_02
2645.59 --> 2648.11 | SPEAKER_02
2648.85 --> 2653.41 | SPEAKER_02
2654.35 --> 2655.18 | SPEAKER_02
2656.34 --> 2675.65 | SPEAKER_02
2659.56 --> 2660.27 | SPEAKER_00
2661.78 --> 2663.85 | SPEAKER_00
2676.95 --> 2688.27 | SPEAKER_02
2683.05 --> 2683.70 | SPEAKER_00
2688.98 --> 2693.38 | SPEAKER_02
2693.38 --> 2694.97 | SPEAKER_00
2693.99 --> 2697.15 | SPEAKER_02
2697.15 --> 2734.91 | SPEAKER_00
2720.48 --> 2722.26 | SPEAKER_01
2733.70 --> 2743.01 | SPEAKER_02
2743.74 --> 2752.80 | SPEAKER_02
2753.39 --> 2779.11 | SPEAKER_02
2757.29 --> 2757.57 | SPEAKER_00
2779.06 --> 2779.93 | SPEAKER_01
2779.93 --> 2780.20 | SPEAKER_00
2781.33 --> 2811.63 | SPEAKER_00
