1455.11 --> 1457.81 | SPEAKER_01
1457.81 --> 1457.87 | SPEAKER_03
1458.03 --> 1458.51 | SPEAKER_03
1458.53 --> 1459.57 | SPEAKER_01
1459.85 --> 1465.62 | SPEAKER_01
1469.03 --> 1471.61 | SPEAKER_01
1472.16 --> 1474.29 | SPEAKER_01
1474.29 --> 1474.87 | SPEAKER_03
1474.87 --> 1477.40 | SPEAKER_01
1477.81 --> 1478.62 | SPEAKER_03
1478.62 --> 1480.16 | SPEAKER_01
1480.64 --> 1481.87 | SPEAKER_01
1482.05 --> 1482.88 | SPEAKER_01
1482.98 --> 1483.46 | SPEAKER_01
1484.27 --> 1489.12 | SPEAKER_01
1489.20 --> 1489.48 | SPEAKER_03
1489.48 --> 1490.29 | SPEAKER_01
1490.61 --> 1491.59 | SPEAKER_01
1491.70 --> 1491.96 | SPEAKER_03
1491.96 --> 1493.18 | SPEAKER_01
1493.53 --> 1495.83 | SPEAKER_01
1495.83 --> 1496.11 | SPEAKER_03
1496.35 --> 1499.87 | SPEAKER_01
1500.94 --> 1501.48 | SPEAKER_03
1501.48 --> 1504.98 | SPEAKER_01
1505.44 --> 1514.38 | SPEAKER_01
1514.55 --> 1514.61 | SPEAKER_01
1514.61 --> 1514.68 | SPEAKER_03
1514.68 --> 1515.85 | SPEAKER_01
1515.85 --> 1516.42 | SPEAKER_03
1516.42 --> 1517.88 | SPEAKER_01
1519.11 --> 1520.24 | SPEAKER_01
1521.07 --> 1523.59 | SPEAKER_01
1523.94 --> 1524.07 | SPEAKER_03
1524.07 --> 1525.12 | SPEAKER_01
1525.53 --> 1525.98 | SPEAKER_02
1525.98 --> 1526.01 | SPEAKER_03
1526.09 --> 1526.11 | SPEAKER_02
1526.11 --> 1526.22 | SPEAKER_01
1526.22 --> 1527.18 | SPEAKER_02
1527.18 --> 1528.59 | SPEAKER_01
1528.59 --> 1530.74 | SPEAKER_02
1531.14 --> 1542.27 | SPEAKER_02
1542.77 --> 1545.83 | SPEAKER_02
1545.83 --> 1546.46 | SPEAKER_01
1546.74 --> 1548.16 | SPEAKER_02
1548.62 --> 1559.83 | SPEAKER_02
1560.05 --> 1560.07 | SPEAKER_02
1560.07 --> 1560.16 | SPEAKER_01
1560.16 --> 1562.46 | SPEAKER_02
1562.66 --> 1569.33 | SPEAKER_02
1569.55 --> 1571.22 | SPEAKER_02
1572.07 --> 1573.85 | SPEAKER_02
1573.85 --> 1574.64 | SPEAKER_01
1574.64 --> 1580.38 | SPEAKER_02
1580.38 --> 1580.46 | SPEAKER_01
1580.46 --> 1584.62 | SPEAKER_02
1584.64 --> 1588.01 | SPEAKER_01
